number,value,datetime_start,datetime_complete,duration,params_dema_period,params_tema_fast,params_tema_slow,state
0,-1393.4623558597686,2025-06-30 21:57:43.356712,2025-06-30 22:00:00.818858,0 days 00:02:17.462146,17,8,69,COMPLETE
1,-980.9884203328411,2025-06-30 21:57:43.359062,2025-06-30 22:00:13.204030,0 days 00:02:29.844968,9,39,88,COMPLETE
2,5158.542252029363,2025-06-30 21:57:43.361669,2025-06-30 21:59:59.244595,0 days 00:02:15.882926,178,38,66,COMPLETE
3,0.0,2025-06-30 21:57:43.363544,2025-06-30 21:57:43.364781,0 days 00:00:00.001237,117,74,39,COMPLETE
4,-3099.591541298092,2025-06-30 21:57:43.365215,2025-06-30 21:59:57.903958,0 days 00:02:14.538743,90,29,242,COMPLETE
5,1874.716409632828,2025-06-30 21:57:43.369119,2025-06-30 22:00:01.616637,0 days 00:02:18.247518,96,49,157,COMPLETE
6,-409.86374545411763,2025-06-30 21:57:43.369829,2025-06-30 22:00:16.172605,0 days 00:02:32.802776,148,70,215,COMPLETE
7,-4262.681117221867,2025-06-30 21:57:43.376315,2025-06-30 22:00:06.043668,0 days 00:02:22.667353,78,10,187,COMPLETE
8,3298.6908012680924,2025-06-30 21:57:43.378813,2025-06-30 22:00:08.785763,0 days 00:02:25.406950,101,38,68,COMPLETE
9,845.9672610789603,2025-06-30 21:57:43.379985,2025-06-30 22:00:09.686032,0 days 00:02:26.306047,9,80,170,COMPLETE
10,2542.5459955694296,2025-06-30 21:57:43.385362,2025-06-30 22:00:12.694441,0 days 00:02:29.309079,35,38,152,COMPLETE
11,-1563.8702133729057,2025-06-30 21:57:43.391961,2025-06-30 22:00:22.481625,0 days 00:02:39.089664,55,35,77,COMPLETE
12,-7547.1115780567425,2025-06-30 21:57:43.393973,2025-06-30 22:00:20.207021,0 days 00:02:36.813048,98,28,153,COMPLETE
13,253.47732233295028,2025-06-30 21:57:43.399997,2025-06-30 22:00:19.542022,0 days 00:02:36.142025,22,43,91,COMPLETE
14,-2001.5442004888928,2025-06-30 21:57:43.404349,2025-06-30 22:00:12.446027,0 days 00:02:29.041678,123,33,122,COMPLETE
15,-1082.6994544149666,2025-06-30 21:57:43.406098,2025-06-30 22:00:25.593999,0 days 00:02:42.187901,121,22,111,COMPLETE
16,-3120.4990620979315,2025-06-30 21:57:43.408267,2025-06-30 22:00:26.417935,0 days 00:02:43.009668,151,63,225,COMPLETE
17,2801.112912112785,2025-06-30 21:57:43.409366,2025-06-30 22:00:25.567136,0 days 00:02:42.157770,174,78,246,COMPLETE
18,-1186.4211842864242,2025-06-30 21:57:43.412980,2025-06-30 22:00:28.799675,0 days 00:02:45.386695,89,26,50,COMPLETE
19,-885.6151316610049,2025-06-30 21:57:43.416121,2025-06-30 22:00:23.687979,0 days 00:02:40.271858,108,29,135,COMPLETE
20,963.7228954832462,2025-06-30 21:57:43.440133,2025-06-30 22:00:36.176419,0 days 00:02:52.736286,88,50,91,COMPLETE
21,0.0,2025-06-30 21:57:43.441715,2025-06-30 21:57:53.822527,0 days 00:00:10.380812,134,73,51,COMPLETE
22,3894.134063243394,2025-06-30 21:57:43.497443,2025-06-30 22:00:54.038513,0 days 00:03:10.541070,149,40,146,COMPLETE
23,3384.281846916245,2025-06-30 21:57:43.499058,2025-06-30 22:00:36.693701,0 days 00:02:53.194643,191,22,206,COMPLETE
24,1835.3473517481643,2025-06-30 21:57:43.507239,2025-06-30 22:01:01.716698,0 days 00:03:18.209459,108,25,96,COMPLETE
25,1833.6474778993788,2025-06-30 21:57:43.526691,2025-06-30 22:00:57.856302,0 days 00:03:14.329611,118,38,187,COMPLETE
26,510.8049230084107,2025-06-30 21:57:43.531879,2025-06-30 22:01:04.646250,0 days 00:03:21.114371,160,79,211,COMPLETE
27,0.0,2025-06-30 21:57:43.568323,2025-06-30 21:58:14.482924,0 days 00:00:30.914601,26,71,47,COMPLETE
28,-1019.927608933931,2025-06-30 21:57:43.592402,2025-06-30 22:01:15.066515,0 days 00:03:31.474113,120,69,199,COMPLETE
29,3209.309481111345,2025-06-30 21:57:43.633508,2025-06-30 22:01:30.521210,0 days 00:03:46.887702,199,60,212,COMPLETE
