number,value,datetime_start,datetime_complete,duration,params_atr_multiplier,params_atr_period,params_ema_period,state
0,982.1919912860901,2025-08-03 21:36:24.052108,2025-08-03 21:36:25.919017,0 days 00:00:01.866909,3.6776016278294055,41,70,COMPLETE
1,962.5689847760024,2025-08-03 21:36:24.054219,2025-08-03 21:36:26.109443,0 days 00:00:02.055224,3.3994916308162613,28,93,COMPLETE
2,3630.5264430143447,2025-08-03 21:36:24.057508,2025-08-03 21:36:26.186677,0 days 00:00:02.129169,2.6221850934207835,42,88,COMPLETE
3,2949.6409715317027,2025-08-03 21:36:24.059150,2025-08-03 21:36:26.560138,0 days 00:00:02.500988,2.862113104115328,16,46,COMPLETE
4,3264.3006707914424,2025-08-03 21:36:24.062282,2025-08-03 21:36:26.719395,0 days 00:00:02.657113,2.6751639659373954,32,79,COMPLETE
5,-inf,2025-08-03 21:36:24.071311,2025-08-03 21:36:26.683326,0 days 00:00:02.612015,1.5754834431943854,45,42,COMPLETE
6,-827.3623880474036,2025-08-03 21:36:24.072266,2025-08-03 21:36:26.846111,0 days 00:00:02.773845,3.2848413634576703,35,61,COMPLETE
7,3783.0832958323626,2025-08-03 21:36:24.076018,2025-08-03 21:36:26.569138,0 days 00:00:02.493120,4.022187153234704,50,66,COMPLETE
8,4470.302679310403,2025-08-03 21:36:24.093517,2025-08-03 21:36:27.301650,0 days 00:00:03.208133,2.7746448630524987,12,36,COMPLETE
9,6091.178661591487,2025-08-03 21:36:24.100658,2025-08-03 21:36:28.177775,0 days 00:00:04.077117,3.8522697182486745,27,56,COMPLETE
10,6511.753201863409,2025-08-03 21:36:24.102576,2025-08-03 21:36:28.572701,0 days 00:00:04.470125,1.052561284303584,19,20,COMPLETE
11,4362.319899728176,2025-08-03 21:36:24.104814,2025-08-03 21:36:28.893687,0 days 00:00:04.788873,1.2863798040594001,20,69,COMPLETE
12,1202.595602718724,2025-08-03 21:36:24.108651,2025-08-03 21:36:28.926023,0 days 00:00:04.817372,3.0602287560308032,38,65,COMPLETE
13,3379.1796471777384,2025-08-03 21:36:24.131293,2025-08-03 21:36:28.949754,0 days 00:00:04.818461,3.057113485769604,19,93,COMPLETE
14,4436.857823000565,2025-08-03 21:36:24.138742,2025-08-03 21:36:29.392938,0 days 00:00:05.254196,2.011016076843215,13,63,COMPLETE
15,8551.960200078822,2025-08-03 21:36:24.192470,2025-08-03 21:36:31.574627,0 days 00:00:07.382157,1.6752543212849136,18,78,COMPLETE
16,26880.094441580313,2025-08-03 21:36:24.278803,2025-08-03 21:36:31.453139,0 days 00:00:07.174336,1.6636742839119303,6,46,COMPLETE
17,4067.856982512681,2025-08-03 21:36:24.385393,2025-08-03 21:36:32.261344,0 days 00:00:07.875951,4.357308277748155,9,76,COMPLETE
18,1058.2950714394224,2025-08-03 21:36:24.460862,2025-08-03 21:36:32.617386,0 days 00:00:08.156524,0.8917453981198533,32,82,COMPLETE
19,3934.45816276525,2025-08-03 21:36:24.501262,2025-08-03 21:36:32.415177,0 days 00:00:07.913915,2.5588401424091445,31,75,COMPLETE
20,28.134554787966593,2025-08-03 21:36:24.910863,2025-08-03 21:36:33.172916,0 days 00:00:08.262053,3.252401884061866,30,78,COMPLETE
21,-inf,2025-08-03 21:36:25.065365,2025-08-03 21:36:33.693250,0 days 00:00:08.627885,2.840377687803323,46,42,COMPLETE
22,10941.202810227802,2025-08-03 21:36:25.184693,2025-08-03 21:36:34.026659,0 days 00:00:08.841966,4.110018377096283,22,75,COMPLETE
