number,value,datetime_start,datetime_complete,duration,params_atr_multiplier,params_atr_period,params_ema_period,state
0,3059.8094819893154,2025-08-06 11:09:03.414634,2025-08-06 11:09:03.816583,0 days 00:00:00.401949,2.9203982062053484,25,34,COMPLETE
1,743.5901787389078,2025-08-06 11:09:03.421490,2025-08-06 11:09:05.196846,0 days 00:00:01.775356,0.7112785880336951,38,74,COMPLETE
2,3813.2595221774814,2025-08-06 11:09:03.422667,2025-08-06 11:09:05.422100,0 days 00:00:01.999433,2.7019991207363434,35,65,COMPLETE
3,-inf,2025-08-06 11:09:03.424102,2025-08-06 11:09:05.671540,0 days 00:00:02.247438,0.7022750243669345,47,22,COMPLETE
4,7352.869346226047,2025-08-06 11:09:03.432660,2025-08-06 11:09:06.340217,0 days 00:00:02.907557,2.5618252108884905,30,27,COMPLETE
5,10800.979102901345,2025-08-06 11:09:03.434501,2025-08-06 11:09:06.068412,0 days 00:00:02.633911,4.434985700612627,13,92,COMPLETE
6,182.27766976680755,2025-08-06 11:09:03.435732,2025-08-06 11:09:06.313959,0 days 00:00:02.878227,3.217293868556187,17,91,COMPLETE
7,4951.453774889829,2025-08-06 11:09:03.437323,2025-08-06 11:09:07.210512,0 days 00:00:03.773189,2.405007663807297,27,78,COMPLETE
8,3483.7938973873543,2025-08-06 11:09:03.438176,2025-08-06 11:09:07.673337,0 days 00:00:04.235161,1.0281238713520602,25,47,COMPLETE
9,2214.864466108893,2025-08-06 11:09:03.441154,2025-08-06 11:09:08.634291,0 days 00:00:05.193137,1.0639713413293732,15,82,COMPLETE
10,8506.160595163446,2025-08-06 11:09:03.442708,2025-08-06 11:09:06.241343,0 days 00:00:02.798635,4.00836746012722,13,97,COMPLETE
11,6302.723108786359,2025-08-06 11:09:03.445227,2025-08-06 11:09:08.682201,0 days 00:00:05.236974,2.203890318061694,38,23,COMPLETE
12,17950.211969550026,2025-08-06 11:09:03.448841,2025-08-06 11:09:08.738654,0 days 00:00:05.289813,1.5423314667551273,13,77,COMPLETE
13,-1243.9870495090047,2025-08-06 11:09:03.451489,2025-08-06 11:09:06.688255,0 days 00:00:03.236766,3.36536312275803,31,70,COMPLETE
14,5614.173376135575,2025-08-06 11:09:03.453791,2025-08-06 11:09:09.223008,0 days 00:00:05.769217,4.05013882957614,46,88,COMPLETE
15,3180.628629552412,2025-08-06 11:09:03.456046,2025-08-06 11:09:10.074626,0 days 00:00:06.618580,3.1116753089302707,30,22,COMPLETE
16,6825.964776641257,2025-08-06 11:09:03.457224,2025-08-06 11:09:10.295832,0 days 00:00:06.838608,2.139545113881982,35,84,COMPLETE
