number,value,datetime_start,datetime_complete,duration,params_atr_multiplier,params_atr_period,params_ema_period,state
0,8306.617378615294,2025-08-03 22:51:33.059272,2025-08-03 22:51:33.461901,0 days 00:00:00.402629,3.7300427996466636,17,24,COMPLETE
1,5613.861239122688,2025-08-03 22:51:33.061419,2025-08-03 22:51:33.868130,0 days 00:00:00.806711,2.122311872716743,26,38,COMPLETE
2,2434.9243988885037,2025-08-03 22:51:33.067026,2025-08-03 22:51:34.508534,0 days 00:00:01.441508,4.387598236545049,42,45,COMPLETE
3,5697.296776618594,2025-08-03 22:51:33.068621,2025-08-03 22:51:34.769737,0 days 00:00:01.701116,1.2722882337247543,19,46,COMPLETE
4,-164.63587568605521,2025-08-03 22:51:33.073168,2025-08-03 22:51:35.325114,0 days 00:00:02.251946,3.2230030069403623,36,93,COMPLETE
5,-inf,2025-08-03 22:51:33.074359,2025-08-03 22:51:35.391638,0 days 00:00:02.317279,3.6388327862686425,46,20,COMPLETE
6,654.1208810723928,2025-08-03 22:51:33.075467,2025-08-03 22:51:35.155239,0 days 00:00:02.079772,2.855599285963315,23,49,COMPLETE
7,8457.841933993304,2025-08-03 22:51:33.077437,2025-08-03 22:51:37.104656,0 days 00:00:04.027219,1.6578196243809349,19,60,COMPLETE
8,4790.667848943471,2025-08-03 22:51:33.081877,2025-08-03 22:51:35.952776,0 days 00:00:02.870899,4.41511316491412,15,93,COMPLETE
9,2675.489416494761,2025-08-03 22:51:33.087653,2025-08-03 22:51:36.130808,0 days 00:00:03.043155,2.058769307508025,27,58,COMPLETE
10,3615.9692974647523,2025-08-03 22:51:33.095385,2025-08-03 22:51:37.043655,0 days 00:00:03.948270,0.9931998583567725,28,40,COMPLETE
11,458.24850809066504,2025-08-03 22:51:33.123438,2025-08-03 22:51:37.604097,0 days 00:00:04.480659,2.3528755821482537,16,95,COMPLETE
12,13577.236069336617,2025-08-03 22:51:33.156899,2025-08-03 22:51:37.967055,0 days 00:00:04.810156,3.6112422765091265,18,21,COMPLETE
13,7655.19943260948,2025-08-03 22:51:33.167985,2025-08-03 22:51:38.645325,0 days 00:00:05.477340,1.7123653748204042,21,32,COMPLETE
14,1323.4323273912773,2025-08-03 22:51:33.169768,2025-08-03 22:51:38.746173,0 days 00:00:05.576405,3.860430881231407,47,76,COMPLETE
15,2423.430544286221,2025-08-03 22:51:33.176641,2025-08-03 22:51:39.005378,0 days 00:00:05.828737,3.8869901753867775,9,66,COMPLETE
16,5686.618100580357,2025-08-03 22:51:33.193514,2025-08-03 22:51:39.821172,0 days 00:00:06.627658,1.8649288563813249,10,79,COMPLETE
17,17379.821140070777,2025-08-03 22:51:33.216407,2025-08-03 22:51:48.562563,0 days 00:00:15.346156,3.804236531182146,24,41,COMPLETE
18,1665.661211496701,2025-08-03 22:51:33.253682,2025-08-03 22:51:40.140503,0 days 00:00:06.886821,2.3397238854860096,50,86,COMPLETE
19,4157.899010029064,2025-08-03 22:51:33.276914,2025-08-03 22:51:41.021747,0 days 00:00:07.744833,3.1882276509993557,12,33,COMPLETE
20,2313.108728678015,2025-08-03 22:51:33.298273,2025-08-03 22:51:41.683887,0 days 00:00:08.385614,3.010709706848668,12,68,COMPLETE
21,4455.9189044170735,2025-08-03 22:51:33.309055,2025-08-03 22:51:42.157027,0 days 00:00:08.847972,3.7564621441105004,26,47,COMPLETE
22,1604.9122323671245,2025-08-03 22:51:33.333386,2025-08-03 22:51:43.021260,0 days 00:00:09.687874,1.2823180974319794,39,53,COMPLETE
23,531.7533607210095,2025-08-03 22:51:33.350408,2025-08-03 22:51:42.904231,0 days 00:00:09.553823,3.2352740117282024,44,69,COMPLETE
24,6428.172795840152,2025-08-03 22:51:33.389111,2025-08-03 22:51:43.876354,0 days 00:00:10.487243,1.0443007732200371,12,26,COMPLETE
25,2430.293195896159,2025-08-03 22:51:33.429516,2025-08-03 22:51:44.377926,0 days 00:00:10.948410,3.949400856184062,34,87,COMPLETE
26,678.7320277250427,2025-08-03 22:51:33.468826,2025-08-03 22:51:45.027634,0 days 00:00:11.558808,0.9889295755329286,23,85,COMPLETE
27,1982.6199186831864,2025-08-03 22:51:33.470073,2025-08-03 22:51:45.211191,0 days 00:00:11.741118,3.914931337087634,47,46,COMPLETE
28,3004.068617909454,2025-08-03 22:51:33.492200,2025-08-03 22:51:45.339941,0 days 00:00:11.847741,1.3778529561747601,46,91,COMPLETE
