number,value,datetime_start,datetime_complete,duration,params_macd_fast,params_macd_signal,params_macd_slow,params_volume_sma,params_volume_spike_ratio,state
0,5751.056103959753,2025-07-31 22:27:45.469809,2025-07-31 22:27:46.622352,0 days 00:00:01.152543,11,18,43,22,2.3969204026208297,COMPLETE
1,4824.924209796758,2025-07-31 22:27:45.473118,2025-07-31 22:27:46.898379,0 days 00:00:01.425261,14,13,38,18,1.8459234004494776,COMPLETE
2,6225.575563847715,2025-07-31 22:27:45.473805,2025-07-31 22:27:47.545359,0 days 00:00:02.071554,7,10,38,6,2.5195300343629246,COMPLETE
3,6407.186472926436,2025-07-31 22:27:45.474901,2025-07-31 22:27:48.546686,0 days 00:00:03.071785,12,19,18,10,1.547086318025012,COMPLETE
4,6577.518854123811,2025-07-31 22:27:45.478009,2025-07-31 22:27:48.881435,0 days 00:00:03.403426,8,19,18,25,1.7398017326250081,COMPLETE
5,9509.836085681647,2025-07-31 22:27:45.481734,2025-07-31 22:27:49.201469,0 days 00:00:03.719735,8,9,47,30,2.321834238861908,COMPLETE
6,6380.956398325453,2025-07-31 22:27:45.486214,2025-07-31 22:27:50.512247,0 days 00:00:05.026033,19,5,48,27,2.381198434311013,COMPLETE
7,6914.630189755057,2025-07-31 22:27:45.488801,2025-07-31 22:27:50.722209,0 days 00:00:05.233408,19,8,45,49,1.8226940924448838,COMPLETE
8,4650.466982650618,2025-07-31 22:27:45.491440,2025-07-31 22:27:51.485185,0 days 00:00:05.993745,12,15,33,46,1.5212687417574526,COMPLETE
9,25102.40505274575,2025-07-31 22:27:45.492488,2025-07-31 22:27:51.998803,0 days 00:00:06.506315,19,8,20,37,2.573222041209113,COMPLETE
10,11599.169778347634,2025-07-31 22:27:45.494949,2025-07-31 22:27:54.264781,0 days 00:00:08.769832,13,20,49,40,1.539239650250993,COMPLETE
11,-inf,2025-07-31 22:27:45.498876,2025-07-31 22:27:55.936870,0 days 00:00:10.437994,17,13,15,29,1.519735327142949,COMPLETE
12,3969.329354574289,2025-07-31 22:27:45.500019,2025-07-31 22:28:00.083460,0 days 00:00:14.583441,12,15,17,30,2.501977487866977,COMPLETE
13,4968.441902068414,2025-07-31 22:27:45.501552,2025-07-31 22:28:01.112829,0 days 00:00:15.611277,7,11,22,13,2.753982066086476,COMPLETE
14,1628.4535341467583,2025-07-31 22:27:45.504848,2025-07-31 22:28:02.593935,0 days 00:00:17.089087,9,19,37,10,1.711914014939864,COMPLETE
15,4930.868779738497,2025-07-31 22:27:45.509835,2025-07-31 22:28:10.147215,0 days 00:00:24.637380,5,11,40,34,2.328721921078537,COMPLETE
16,7978.830166305218,2025-07-31 22:27:45.510661,2025-07-31 22:28:10.076109,0 days 00:00:24.565448,11,10,36,9,1.980015391756517,COMPLETE
17,299.91212618285476,2025-07-31 22:27:45.514777,2025-07-31 22:28:13.492584,0 days 00:00:27.977807,6,20,39,25,2.8192065636262362,COMPLETE
18,3739.460303841759,2025-07-31 22:27:45.523794,2025-07-31 22:28:14.920876,0 days 00:00:29.397082,6,18,22,27,1.9159689005930176,COMPLETE
19,7881.954621521725,2025-07-31 22:27:45.526960,2025-07-31 22:28:19.670596,0 days 00:00:34.143636,14,13,18,47,2.793441986560598,COMPLETE
20,12868.10453187488,2025-07-31 22:27:45.528321,2025-07-31 22:28:19.537100,0 days 00:00:34.008779,19,14,42,12,1.8334024973387455,COMPLETE
21,10263.18585192848,2025-07-31 22:27:45.530427,2025-07-31 22:28:20.186226,0 days 00:00:34.655799,12,17,29,10,2.97577189716659,COMPLETE
22,4974.816050268439,2025-07-31 22:27:45.534590,2025-07-31 22:28:20.607031,0 days 00:00:35.072441,15,17,16,29,1.8815161545082582,COMPLETE
23,7139.297808917769,2025-07-31 22:27:45.542223,2025-07-31 22:28:21.199531,0 days 00:00:35.657308,18,19,20,32,2.7004282994455218,COMPLETE
24,10925.511407419166,2025-07-31 22:27:45.580075,2025-07-31 22:28:22.173135,0 days 00:00:36.593060,10,8,26,33,1.7043029035865545,COMPLETE
25,3922.3463430119496,2025-07-31 22:27:45.600468,2025-07-31 22:28:24.009468,0 days 00:00:38.409000,12,14,16,24,1.5380888044581416,COMPLETE
26,21489.09955740341,2025-07-31 22:27:45.628832,2025-07-31 22:28:23.952637,0 days 00:00:38.323805,16,8,22,34,1.638823912540397,COMPLETE
27,6992.7041150334435,2025-07-31 22:27:45.659797,2025-07-31 22:28:26.410535,0 days 00:00:40.750738,19,5,46,42,1.7351180960896833,COMPLETE
28,-inf,2025-07-31 22:27:45.695168,2025-07-31 22:28:21.505614,0 days 00:00:35.810446,20,12,20,48,2.7180588408858433,COMPLETE
29,25607.171712694424,2025-07-31 22:27:45.720718,2025-07-31 22:28:29.955689,0 days 00:00:44.234971,17,8,19,43,1.7540269514306475,COMPLETE
30,7900.621827410469,2025-07-31 22:27:45.731487,2025-07-31 22:28:29.318255,0 days 00:00:43.586768,13,11,18,6,2.5942744976612726,COMPLETE
31,3583.220216217885,2025-07-31 22:27:45.755384,2025-07-31 22:28:28.947365,0 days 00:00:43.191981,14,18,35,16,2.8052307781508237,COMPLETE
32,10408.455408949038,2025-07-31 22:27:45.793153,2025-07-31 22:28:30.750282,0 days 00:00:44.957129,18,16,41,20,1.6020423611948535,COMPLETE
33,3737.5204693329997,2025-07-31 22:27:45.794226,2025-07-31 22:28:30.571985,0 days 00:00:44.777759,6,6,34,46,2.6436488788378663,COMPLETE
34,6018.324760017127,2025-07-31 22:27:45.854003,2025-07-31 22:28:31.213065,0 days 00:00:45.359062,13,15,42,8,2.3286705687725533,COMPLETE
35,7030.15052009128,2025-07-31 22:27:45.954266,2025-07-31 22:28:33.435746,0 days 00:00:47.481480,12,17,35,26,2.906458533059241,COMPLETE
36,7301.906489504846,2025-07-31 22:27:45.955014,2025-07-31 22:28:33.468881,0 days 00:00:47.513867,19,11,26,36,1.8226833276746417,COMPLETE
37,12359.489194169355,2025-07-31 22:27:45.969150,2025-07-31 22:28:34.994667,0 days 00:00:49.025517,13,5,17,24,2.858986089650758,COMPLETE
38,16185.132798230348,2025-07-31 22:27:46.029913,2025-07-31 22:28:35.518649,0 days 00:00:49.488736,19,16,50,6,2.9118839430343155,COMPLETE
39,9232.63190628622,2025-07-31 22:27:46.074452,2025-07-31 22:29:14.633218,0 days 00:01:28.558766,8,8,19,14,2.5010747830771916,COMPLETE
40,17315.26577064916,2025-07-31 22:27:46.092819,2025-07-31 22:28:36.566308,0 days 00:00:50.473489,11,5,40,38,2.5424267094225192,COMPLETE
41,4631.326127193369,2025-07-31 22:27:46.105047,2025-07-31 22:28:37.042128,0 days 00:00:50.937081,17,17,27,20,2.0812175045819044,COMPLETE
42,7304.862722107461,2025-07-31 22:27:46.149733,2025-07-31 22:28:37.324364,0 days 00:00:51.174631,12,18,19,50,2.990887500816805,COMPLETE
43,5331.836051758644,2025-07-31 22:27:46.182807,2025-07-31 22:28:37.126865,0 days 00:00:50.944058,5,8,37,43,2.871783050597228,COMPLETE
44,4476.64702619405,2025-07-31 22:27:46.268793,2025-07-31 22:28:37.828907,0 days 00:00:51.560114,9,6,34,34,2.4150750597533936,COMPLETE
45,6821.992892487308,2025-07-31 22:27:46.292249,2025-07-31 22:28:38.709823,0 days 00:00:52.417574,18,8,41,42,1.7402544826898483,COMPLETE
46,3393.920613614917,2025-07-31 22:27:46.324781,2025-07-31 22:28:40.744977,0 days 00:00:54.420196,17,9,44,40,2.335634722838253,COMPLETE
47,13398.801493519184,2025-07-31 22:27:46.380930,2025-07-31 22:28:42.095029,0 days 00:00:55.714099,20,14,42,45,2.8338923486948078,COMPLETE
48,3696.5900178458983,2025-07-31 22:27:46.444352,2025-07-31 22:28:41.032546,0 days 00:00:54.588194,9,17,19,17,2.3223477667926824,COMPLETE
49,10608.669723680528,2025-07-31 22:27:46.478864,2025-07-31 22:28:45.571936,0 days 00:00:59.093072,16,11,50,35,1.9920354249592995,COMPLETE
50,3066.115393202946,2025-07-31 22:27:46.523148,2025-07-31 22:28:45.797016,0 days 00:00:59.273868,10,20,31,33,1.6620269098990144,COMPLETE
51,2530.9521461340532,2025-07-31 22:27:46.546518,2025-07-31 22:28:44.222036,0 days 00:00:57.675518,15,19,35,32,1.611562470159209,COMPLETE
52,8649.033624173173,2025-07-31 22:27:46.573827,2025-07-31 22:28:43.669481,0 days 00:00:57.095654,14,17,26,34,2.95060212254822,COMPLETE
53,11484.051555780032,2025-07-31 22:27:46.586273,2025-07-31 22:28:46.243134,0 days 00:00:59.656861,16,8,43,6,2.461973091121573,COMPLETE
