number,value,datetime_start,datetime_complete,duration,params_macd_fast,params_macd_signal,params_macd_slow,params_volume_sma,params_volume_spike_ratio,state
0,19106.969323658603,2025-07-31 22:45:41.846461,2025-07-31 22:45:47.442434,0 days 00:00:05.595973,9,18,43,12,1.9902277930654582,COMPLETE
1,5301.272566641246,2025-07-31 22:45:41.848446,2025-07-31 22:45:47.741177,0 days 00:00:05.892731,9,12,45,24,2.3148494802256185,COMPLETE
2,17878.798585327393,2025-07-31 22:45:41.851017,2025-07-31 22:45:47.830116,0 days 00:00:05.979099,9,18,47,37,1.5350391688842406,COMPLETE
3,4553.538935090693,2025-07-31 22:45:41.857889,2025-07-31 22:45:47.308434,0 days 00:00:05.450545,6,20,36,25,2.520048146453946,COMPLETE
4,16695.84660069315,2025-07-31 22:45:41.860045,2025-07-31 22:45:46.828125,0 days 00:00:04.968080,19,19,37,10,2.352914179208038,COMPLETE
5,11777.549872755502,2025-07-31 22:45:41.866253,2025-07-31 22:45:47.537336,0 days 00:00:05.671083,14,18,48,21,1.5675299687106987,COMPLETE
6,4252.478493274191,2025-07-31 22:45:41.871800,2025-07-31 22:45:45.928238,0 days 00:00:04.056438,6,20,41,49,2.2945336160739522,COMPLETE
7,6114.387206880078,2025-07-31 22:45:41.876807,2025-07-31 22:45:48.131876,0 days 00:00:06.255069,12,5,28,33,1.9189259862795982,COMPLETE
8,23776.436373582877,2025-07-31 22:45:41.880571,2025-07-31 22:45:47.550360,0 days 00:00:05.669789,14,20,50,28,1.7896115775751609,COMPLETE
9,3285.4296698081744,2025-07-31 22:45:41.889707,2025-07-31 22:45:48.321180,0 days 00:00:06.431473,7,20,34,38,1.8120182029097147,COMPLETE
10,7798.267996845537,2025-07-31 22:45:41.894266,2025-07-31 22:45:48.706965,0 days 00:00:06.812699,12,17,35,43,2.1597609331804666,COMPLETE
11,2738.2710086218067,2025-07-31 22:45:41.897537,2025-07-31 22:45:49.447763,0 days 00:00:07.550226,7,8,35,27,1.8117096011039626,COMPLETE
12,3899.7028221101136,2025-07-31 22:45:41.913578,2025-07-31 22:45:50.927173,0 days 00:00:09.013595,7,12,34,24,1.935614394257243,COMPLETE
13,9077.921221839235,2025-07-31 22:45:41.919010,2025-07-31 22:45:51.227774,0 days 00:00:09.308764,15,11,40,47,2.1725922787291223,COMPLETE
14,3806.898324814952,2025-07-31 22:45:41.924557,2025-07-31 22:45:51.702560,0 days 00:00:09.778003,15,18,37,38,2.87271235826187,COMPLETE
15,8339.576212379,2025-07-31 22:45:41.932018,2025-07-31 22:45:52.856093,0 days 00:00:10.924075,12,5,31,31,1.9243114545839144,COMPLETE
16,3493.5860558440822,2025-07-31 22:45:41.934923,2025-07-31 22:45:53.083260,0 days 00:00:11.148337,11,17,25,12,1.8807977687365423,COMPLETE
17,-inf,2025-07-31 22:45:41.945024,2025-07-31 22:45:51.594251,0 days 00:00:09.649227,20,15,18,9,2.7508853024656466,COMPLETE
18,2916.6204090281603,2025-07-31 22:45:41.965451,2025-07-31 22:45:56.319301,0 days 00:00:14.353850,7,12,41,33,2.4385989627507882,COMPLETE
19,5144.379915714831,2025-07-31 22:45:41.995392,2025-07-31 22:45:56.517430,0 days 00:00:14.522038,14,7,29,42,2.3568953059738016,COMPLETE
20,8032.581709290312,2025-07-31 22:45:42.048085,2025-07-31 22:45:57.239652,0 days 00:00:15.191567,6,16,41,31,1.9690133318428291,COMPLETE
21,10193.84044633509,2025-07-31 22:45:42.112275,2025-07-31 22:45:57.183050,0 days 00:00:15.070775,14,7,25,32,2.90641168237679,COMPLETE
22,1480.0148512295186,2025-07-31 22:45:42.403973,2025-07-31 22:45:59.855745,0 days 00:00:17.451772,7,10,45,35,2.089030443599693,COMPLETE
23,3512.96128241354,2025-07-31 22:45:42.610376,2025-07-31 22:45:55.176576,0 days 00:00:12.566200,7,16,40,39,2.4373804301879036,COMPLETE
24,17517.642570661985,2025-07-31 22:45:42.664095,2025-07-31 22:46:19.506974,0 days 00:00:36.842879,19,9,39,10,2.357495124326103,COMPLETE
