number,value,datetime_start,datetime_complete,duration,params_macd_fast,params_macd_signal,params_macd_slow,state
0,-inf,2025-08-07 13:27:47.839174,2025-08-07 13:27:47.840106,0 days 00:00:00.000932,15,17,15,COMPLETE
1,4807.492413861281,2025-08-07 13:27:47.842420,2025-08-07 13:27:48.893975,0 days 00:00:01.051555,11,7,22,COMPLETE
2,4403.410067953016,2025-08-07 13:27:47.844383,2025-08-07 13:27:48.863891,0 days 00:00:01.019508,16,8,43,COMPLETE
3,1223.294982931662,2025-08-07 13:27:47.846396,2025-08-07 13:27:49.801240,0 days 00:00:01.954844,15,17,39,COMPLETE
4,1121.1450813810013,2025-08-07 13:27:47.848736,2025-08-07 13:27:50.411058,0 days 00:00:02.562322,6,13,22,COMPLETE
5,7207.2146819967065,2025-08-07 13:27:47.850599,2025-08-07 13:27:50.891669,0 days 00:00:03.041070,18,14,46,COMPLETE
6,2847.761664797586,2025-08-07 13:27:47.853884,2025-08-07 13:27:51.430988,0 days 00:00:03.577104,13,11,31,COMPLETE
7,-inf,2025-08-07 13:27:47.855133,2025-08-07 13:27:48.100872,0 days 00:00:00.245739,17,15,17,COMPLETE
8,4244.4395357677595,2025-08-07 13:27:47.862657,2025-08-07 13:27:53.300133,0 days 00:00:05.437476,14,18,49,COMPLETE
9,4418.428088179114,2025-08-07 13:27:47.865391,2025-08-07 13:27:53.875427,0 days 00:00:06.010036,9,13,34,COMPLETE
10,21811.58683618627,2025-08-07 13:27:47.867053,2025-08-07 13:27:52.948936,0 days 00:00:05.081883,7,11,15,COMPLETE
11,893.932422935719,2025-08-07 13:27:47.869206,2025-08-07 13:27:51.722261,0 days 00:00:03.853055,7,17,31,COMPLETE
12,1422.6187312689008,2025-08-07 13:27:47.870657,2025-08-07 13:27:51.773981,0 days 00:00:03.903324,15,9,30,COMPLETE
13,11664.17940391435,2025-08-07 13:27:47.872124,2025-08-07 13:27:53.549122,0 days 00:00:05.676998,12,5,29,COMPLETE
14,3057.955825869417,2025-08-07 13:27:47.876037,2025-08-07 13:27:55.183460,0 days 00:00:07.307423,5,12,50,COMPLETE
15,2994.4178545462605,2025-08-07 13:27:47.880907,2025-08-07 13:27:54.516223,0 days 00:00:06.635316,16,6,40,COMPLETE
16,4608.058419051112,2025-08-07 13:27:47.882703,2025-08-07 13:27:53.811152,0 days 00:00:05.928449,17,18,37,COMPLETE
17,5522.352134023307,2025-08-07 13:27:47.884233,2025-08-07 13:27:54.949380,0 days 00:00:07.065147,11,11,33,COMPLETE
18,4477.006020980066,2025-08-07 13:27:47.887287,2025-08-07 13:27:55.167544,0 days 00:00:07.280257,9,18,24,COMPLETE
19,1940.202446803632,2025-08-07 13:27:47.891486,2025-08-07 13:27:55.444004,0 days 00:00:07.552518,11,10,16,COMPLETE
20,1511.2791903141233,2025-08-07 13:27:47.906039,2025-08-07 13:27:55.718905,0 days 00:00:07.812866,9,12,37,COMPLETE
21,835.4075445139283,2025-08-07 13:27:48.550565,2025-08-07 13:27:56.343528,0 days 00:00:07.792963,10,20,45,COMPLETE
22,2630.170192141942,2025-08-07 13:27:49.500487,2025-08-07 13:27:55.618281,0 days 00:00:06.117794,9,19,37,COMPLETE
23,2082.341020048908,2025-08-07 13:27:49.512589,2025-08-07 13:27:56.241118,0 days 00:00:06.728529,5,13,47,COMPLETE
24,11205.241479360733,2025-08-07 13:27:49.802313,2025-08-07 13:27:56.470078,0 days 00:00:06.667765,8,5,35,COMPLETE
25,4213.666446687727,2025-08-07 13:27:50.826135,2025-08-07 13:27:56.228747,0 days 00:00:05.402612,14,13,33,COMPLETE
26,25502.774979989088,2025-08-07 13:27:51.253118,2025-08-07 13:27:55.729955,0 days 00:00:04.476837,5,11,16,COMPLETE
27,4598.225171575605,2025-08-07 13:27:51.532686,2025-08-07 13:27:56.578754,0 days 00:00:05.046068,10,12,30,COMPLETE
28,792.8591062652758,2025-08-07 13:27:51.785012,2025-08-07 13:27:56.872633,0 days 00:00:05.087621,19,19,50,COMPLETE
29,11278.411264527635,2025-08-07 13:27:51.960067,2025-08-07 13:27:56.779048,0 days 00:00:04.818981,20,5,50,COMPLETE
30,5432.774382071372,2025-08-07 13:27:53.416259,2025-08-07 13:27:57.686128,0 days 00:00:04.269869,20,5,40,COMPLETE
31,4155.005641126433,2025-08-07 13:27:53.515030,2025-08-07 13:27:57.525044,0 days 00:00:04.010014,19,12,49,COMPLETE
32,12384.805241652897,2025-08-07 13:27:53.953972,2025-08-07 13:28:02.167945,0 days 00:00:08.213973,10,5,25,COMPLETE
33,12384.805241652897,2025-08-07 13:27:54.506412,2025-08-07 13:27:59.644024,0 days 00:00:05.137612,10,5,25,COMPLETE
34,1134.791525156893,2025-08-07 13:27:55.368188,2025-08-07 13:28:00.104330,0 days 00:00:04.736142,20,5,27,COMPLETE
35,5028.009947193663,2025-08-07 13:27:55.467793,2025-08-07 13:27:59.314298,0 days 00:00:03.846505,20,5,26,COMPLETE
36,3737.0048119873436,2025-08-07 13:27:55.666772,2025-08-07 13:28:00.861997,0 days 00:00:05.195225,20,15,26,COMPLETE
37,17746.37209215301,2025-08-07 13:27:55.741286,2025-08-07 13:28:02.276085,0 days 00:00:06.534799,7,5,26,COMPLETE
38,9519.077756657374,2025-08-07 13:27:55.921427,2025-08-07 13:28:01.529322,0 days 00:00:05.607895,7,5,27,COMPLETE
39,-inf,2025-08-07 13:27:56.098536,2025-08-07 13:27:57.690100,0 days 00:00:01.591564,20,5,19,COMPLETE
40,5028.009947193663,2025-08-07 13:27:56.160451,2025-08-07 13:28:02.286046,0 days 00:00:06.125595,20,5,26,COMPLETE
41,17746.37209215301,2025-08-07 13:27:56.325238,2025-08-07 13:28:03.508702,0 days 00:00:07.183464,7,5,26,COMPLETE
42,23004.649629553453,2025-08-07 13:27:56.412571,2025-08-07 13:28:02.409117,0 days 00:00:05.996546,6,6,19,COMPLETE
43,-inf,2025-08-07 13:27:56.684015,2025-08-07 13:27:57.689472,0 days 00:00:01.005457,20,9,19,COMPLETE
44,8382.794703258296,2025-08-07 13:27:56.711924,2025-08-07 13:28:02.826833,0 days 00:00:06.114909,7,9,26,COMPLETE
45,25509.88932515791,2025-08-07 13:27:56.771750,2025-08-07 13:28:04.129274,0 days 00:00:07.357524,7,9,19,COMPLETE
46,13300.491985999988,2025-08-07 13:27:56.802248,2025-08-07 13:28:04.116222,0 days 00:00:07.313974,7,9,18,COMPLETE
47,13165.022801590745,2025-08-07 13:27:56.814254,2025-08-07 13:28:01.545344,0 days 00:00:04.731090,7,8,19,COMPLETE
48,10357.83953244801,2025-08-07 13:27:56.878431,2025-08-07 13:28:02.287637,0 days 00:00:05.409206,6,9,19,COMPLETE
49,25509.88932515791,2025-08-07 13:27:56.907048,2025-08-07 13:28:03.169610,0 days 00:00:06.262562,7,9,19,COMPLETE
