number,value,datetime_start,datetime_complete,duration,params_macd_fast,params_macd_signal,params_macd_slow,state
0,13525.04228736989,2025-08-07 12:29:58.595492,2025-08-07 12:29:59.855630,0 days 00:00:01.260138,13,13,15,COMPLETE
1,18344.119579600716,2025-08-07 12:29:58.598317,2025-08-07 12:29:59.660824,0 days 00:00:01.062507,20,15,36,COMPLETE
2,29865.527141361996,2025-08-07 12:29:58.600218,2025-08-07 12:30:00.221009,0 days 00:00:01.620791,15,10,16,COMPLETE
3,-inf,2025-08-07 12:29:58.601955,2025-08-07 12:29:58.602977,0 days 00:00:00.001022,20,15,16,COMPLETE
4,113143.79632874914,2025-08-07 12:29:58.604523,2025-08-07 12:29:59.834083,0 days 00:00:01.229560,16,7,24,COMPLETE
5,3201.025900810843,2025-08-07 12:29:58.609254,2025-08-07 12:30:00.010229,0 days 00:00:01.400975,7,14,44,COMPLETE
6,51197.254041871165,2025-08-07 12:29:58.611248,2025-08-07 12:30:00.324652,0 days 00:00:01.713404,12,8,31,COMPLETE
7,14598.143512816776,2025-08-07 12:29:58.614249,2025-08-07 12:30:02.155459,0 days 00:00:03.541210,5,12,27,COMPLETE
8,20005.300788155226,2025-08-07 12:29:58.617490,2025-08-07 12:30:02.993164,0 days 00:00:04.375674,14,16,50,COMPLETE
9,11621.892259981678,2025-08-07 12:29:58.621825,2025-08-07 12:30:02.189523,0 days 00:00:03.567698,14,17,33,COMPLETE
10,25969.336747335034,2025-08-07 12:29:58.626884,2025-08-07 12:30:02.941537,0 days 00:00:04.314653,7,16,17,COMPLETE
11,3798.050911463406,2025-08-07 12:29:58.629954,2025-08-07 12:30:02.107876,0 days 00:00:03.477922,11,15,39,COMPLETE
12,6667.428006630821,2025-08-07 12:29:58.643940,2025-08-07 12:30:02.469394,0 days 00:00:03.825454,14,20,38,COMPLETE
13,9293.452186367756,2025-08-07 12:29:58.647041,2025-08-07 12:30:03.172374,0 days 00:00:04.525333,17,20,40,COMPLETE
14,-inf,2025-08-07 12:29:58.649836,2025-08-07 12:30:00.263136,0 days 00:00:01.613300,16,15,15,COMPLETE
15,9577.338002525836,2025-08-07 12:29:58.659085,2025-08-07 12:30:03.396042,0 days 00:00:04.736957,8,14,33,COMPLETE
16,64216.22088380952,2025-08-07 12:29:58.738371,2025-08-07 12:30:03.268385,0 days 00:00:04.530014,15,10,41,COMPLETE
17,32155.22005950234,2025-08-07 12:29:58.739559,2025-08-07 12:30:03.775862,0 days 00:00:05.036303,19,13,33,COMPLETE
18,25165.74801540631,2025-08-07 12:29:58.768353,2025-08-07 12:30:03.883343,0 days 00:00:05.114990,7,7,38,COMPLETE
19,15236.608395033642,2025-08-07 12:29:58.833834,2025-08-07 12:30:03.445585,0 days 00:00:04.611751,20,18,49,COMPLETE
20,24294.883562304007,2025-08-07 12:29:58.902362,2025-08-07 12:30:02.856074,0 days 00:00:03.953712,9,16,31,COMPLETE
21,10000.136703220618,2025-08-07 12:29:59.926008,2025-08-07 12:30:03.952543,0 days 00:00:04.026535,12,12,23,COMPLETE
