number,value,datetime_start,datetime_complete,duration,params_fast,params_macd_fast,params_macd_signal,params_macd_slow,params_rsi_period,params_rsi_threshold,params_slow,params_take_profit,params_trend_sma_period,state
0,9.649920311667529,2025-09-03 11:11:11.712752,2025-09-03 11:12:08.544896,0 days 00:00:56.832144,37,10,18,15,11,53,115,4.830383620242545,25,COMPLETE
1,-inf,2025-09-03 11:11:11.716193,2025-09-03 11:11:11.717443,0 days 00:00:00.001250,56,13,12,32,18,56,46,3.4181237626987575,24,COMPLETE
2,-inf,2025-09-03 11:11:11.718267,2025-09-03 11:12:08.740735,0 days 00:00:57.022468,69,12,13,48,22,46,231,0.8963437262855327,6,COMPLETE
3,-inf,2025-09-03 11:11:11.719861,2025-09-03 11:12:07.239475,0 days 00:00:55.519614,42,14,11,16,11,30,49,3.3690689747354408,15,COMPLETE
4,-inf,2025-09-03 11:11:11.732086,2025-09-03 11:12:07.183394,0 days 00:00:55.451308,38,17,9,29,11,35,156,0.8257971122968865,18,COMPLETE
5,-inf,2025-09-03 11:12:07.240406,2025-09-03 11:12:59.384817,0 days 00:00:52.144411,7,16,18,27,13,30,42,3.153536540109868,23,COMPLETE
6,-inf,2025-09-03 11:12:07.311547,2025-09-03 11:13:00.197709,0 days 00:00:52.886162,59,20,13,30,28,30,181,3.9801537040111796,28,COMPLETE
7,21687.042837629386,2025-09-03 11:12:08.568862,2025-09-03 11:13:02.924194,0 days 00:00:54.355332,14,15,17,33,27,69,112,4.803904952426848,12,COMPLETE
8,379.4787135156739,2025-09-03 11:12:08.743815,2025-09-03 11:13:04.195879,0 days 00:00:55.452064,69,18,17,35,22,53,127,4.478342698758118,20,COMPLETE
9,3905.8606376004464,2025-09-03 11:12:59.416926,2025-09-03 11:13:53.858110,0 days 00:00:54.441184,31,15,19,43,8,65,131,4.5028751735483,16,COMPLETE
10,-inf,2025-09-03 11:13:00.209637,2025-09-03 11:13:52.470184,0 days 00:00:52.260547,40,13,13,38,13,31,223,3.647768524121266,7,COMPLETE
11,-inf,2025-09-03 11:13:02.941977,2025-09-03 11:13:56.981156,0 days 00:00:54.039179,45,5,17,40,28,33,247,4.058274843511287,27,COMPLETE
12,-inf,2025-09-03 11:13:04.207870,2025-09-03 11:13:04.209051,0 days 00:00:00.001181,67,19,12,24,21,52,53,4.00327451605422,12,COMPLETE
13,23041.14632434622,2025-09-03 11:13:04.244179,2025-09-03 11:14:02.845252,0 days 00:00:58.601073,5,5,20,41,30,67,91,1.9007851860064577,6,COMPLETE
14,11884.80967935132,2025-09-03 11:13:52.471285,2025-09-03 11:14:46.514632,0 days 00:00:54.043347,13,7,20,40,30,69,96,4.911867421906849,18,COMPLETE
15,2610.742777971036,2025-09-03 11:13:53.869933,2025-09-03 11:14:47.458513,0 days 00:00:53.588580,11,5,20,44,5,70,96,1.9436359720858654,11,COMPLETE
16,5084.502994599226,2025-09-03 11:13:56.998271,2025-09-03 11:14:50.706120,0 days 00:00:53.707849,17,10,20,46,5,70,96,2.5259910595941357,12,COMPLETE
17,11932.530901006894,2025-09-03 11:14:02.912238,2025-09-03 11:14:57.465948,0 days 00:00:54.553710,5,5,20,47,30,70,91,2.0064929938096183,10,COMPLETE
