number,value,datetime_start,datetime_complete,duration,params_rsi_oversold,params_rsi_period,params_stoch_d_period,params_stoch_k_period,params_stoch_overbought,params_stoch_oversold,params_stoch_smooth_period,state
0,2424.049466031356,2025-07-01 16:03:12.375907,2025-07-01 16:04:32.454278,0 days 00:01:20.078371,7,17,3,7,62,16,2,COMPLETE
1,2781.1687155513127,2025-07-01 16:03:12.378321,2025-07-01 16:04:29.281223,0 days 00:01:16.902902,7,25,4,10,63,27,5,COMPLETE
2,3351.831146040302,2025-07-01 16:03:12.380174,2025-07-01 16:04:32.597539,0 days 00:01:20.217365,9,24,7,9,67,28,4,COMPLETE
3,2187.46157230869,2025-07-01 16:03:12.383955,2025-07-01 16:04:30.774738,0 days 00:01:18.390783,6,30,3,8,61,29,4,COMPLETE
4,8817.186097762476,2025-07-01 16:03:12.390566,2025-07-01 16:04:29.769969,0 days 00:01:17.379403,7,25,6,10,78,12,1,COMPLETE
5,8297.701950642902,2025-07-01 16:03:12.392844,2025-07-01 16:04:31.554736,0 days 00:01:19.161892,6,22,6,15,72,12,4,COMPLETE
6,3905.77851247981,2025-07-01 16:03:12.395131,2025-07-01 16:04:34.567304,0 days 00:01:22.172173,1,24,5,19,77,31,1,COMPLETE
7,1769.098670701047,2025-07-01 16:03:12.398717,2025-07-01 16:04:30.844225,0 days 00:01:18.445508,28,13,2,13,87,23,2,COMPLETE
8,12545.376044923363,2025-07-01 16:03:12.407480,2025-07-01 16:04:30.730467,0 days 00:01:18.322987,12,15,10,7,81,26,1,COMPLETE
9,8858.762028613311,2025-07-01 16:03:12.412954,2025-07-01 16:04:32.641451,0 days 00:01:20.228497,2,16,3,20,84,11,1,COMPLETE
10,2685.3261881663675,2025-07-01 16:03:12.416926,2025-07-01 16:04:31.565211,0 days 00:01:19.148285,28,23,5,5,74,14,2,COMPLETE
11,-3138.0648271118534,2025-07-01 16:03:12.433716,2025-07-01 16:04:41.734737,0 days 00:01:29.301021,25,18,2,6,65,40,1,COMPLETE
12,6681.949698072431,2025-07-01 16:03:12.438637,2025-07-01 16:04:47.680869,0 days 00:01:35.242232,20,29,8,6,85,13,3,COMPLETE
13,5779.35660094719,2025-07-01 16:03:12.445267,2025-07-01 16:04:57.907933,0 days 00:01:45.462666,10,6,6,16,80,11,4,COMPLETE
14,3276.6503985537965,2025-07-01 16:03:12.447412,2025-07-01 16:04:59.869716,0 days 00:01:47.422304,26,20,7,5,70,36,5,COMPLETE
15,5922.053362845592,2025-07-01 16:03:12.449924,2025-07-01 16:05:01.484513,0 days 00:01:49.034589,16,8,7,14,77,17,1,COMPLETE
16,5129.42703076762,2025-07-01 16:03:12.457737,2025-07-01 16:05:24.920596,0 days 00:02:12.462859,21,26,6,17,65,35,2,COMPLETE
17,7152.955166753216,2025-07-01 16:03:12.459916,2025-07-01 16:05:30.972782,0 days 00:02:18.512866,21,9,2,20,90,25,4,COMPLETE
18,4910.0735342579055,2025-07-01 16:03:12.465154,2025-07-01 16:05:42.526932,0 days 00:02:30.061778,13,21,8,7,84,34,2,COMPLETE
19,2189.2666951421234,2025-07-01 16:03:12.468731,2025-07-01 16:06:17.544616,0 days 00:03:05.075885,12,19,9,13,62,34,1,COMPLETE
20,4054.8279068504944,2025-07-01 16:03:12.471278,2025-07-01 16:06:17.402415,0 days 00:03:04.931137,8,13,2,15,65,15,5,COMPLETE
21,5289.590120289023,2025-07-01 16:03:12.472221,2025-07-01 16:06:35.937699,0 days 00:03:23.465478,4,21,10,9,67,23,5,COMPLETE
22,2089.5361093626616,2025-07-01 16:03:12.475664,2025-07-01 16:06:31.965179,0 days 00:03:19.489515,13,26,2,13,61,16,4,COMPLETE
23,-3319.7474985779463,2025-07-01 16:03:12.499799,2025-07-01 16:07:01.398318,0 days 00:03:48.898519,8,28,2,8,71,38,4,COMPLETE
24,3952.583898990275,2025-07-01 16:03:12.502590,2025-07-01 16:07:09.168377,0 days 00:03:56.665787,26,10,2,17,69,25,4,COMPLETE
25,3818.7531407863717,2025-07-01 16:03:12.563148,2025-07-01 16:07:09.249208,0 days 00:03:56.686060,17,7,7,8,81,29,1,COMPLETE
26,3548.123403390853,2025-07-01 16:03:12.581673,2025-07-01 16:07:16.217926,0 days 00:04:03.636253,6,15,3,15,85,28,2,COMPLETE
27,5979.525004038891,2025-07-01 16:03:12.585766,2025-07-01 16:07:26.284485,0 days 00:04:13.698719,23,14,10,19,78,13,3,COMPLETE
28,13469.662763301227,2025-07-01 16:03:12.700260,2025-07-01 16:07:24.616813,0 days 00:04:11.916553,10,28,10,7,84,24,1,COMPLETE
29,3891.274064917103,2025-07-01 16:03:12.728377,2025-07-01 16:07:52.030796,0 days 00:04:39.302419,6,7,6,17,60,33,4,COMPLETE
30,5979.758509092913,2025-07-01 16:03:12.772183,2025-07-01 16:08:12.048185,0 days 00:04:59.276002,18,16,5,17,71,17,3,COMPLETE
31,6635.16034955699,2025-07-01 16:03:12.782285,2025-07-01 16:08:30.009687,0 days 00:05:17.227402,9,8,6,12,70,10,3,COMPLETE
32,1392.785050401173,2025-07-01 16:03:12.832557,2025-07-01 16:09:09.033147,0 days 00:05:56.200590,7,29,3,7,77,39,5,COMPLETE
33,168233.91838823803,2025-07-01 16:03:12.854067,2025-07-01 16:09:00.932228,0 days 00:05:48.078161,4,7,10,6,86,23,3,COMPLETE
