number,value,datetime_start,datetime_complete,duration,params_fast,params_macd_fast,params_macd_signal,params_macd_slow,params_rsi_period,params_rsi_threshold,params_slow,params_trend_sma_period,params_volume_ma_period,state
0,1265.7759977287255,2025-08-06 11:25:27.599238,2025-08-06 11:26:22.845526,0 days 00:00:55.246288,27,17,20,22,5,31,44,164,42,COMPLETE
1,7490.424506968765,2025-08-06 11:25:27.601540,2025-08-06 11:26:24.042146,0 days 00:00:56.440606,7,12,5,24,22,65,84,182,48,COMPLETE
2,623.4867748540715,2025-08-06 11:25:27.603363,2025-08-06 11:26:24.383744,0 days 00:00:56.780381,58,11,10,44,7,63,93,193,33,COMPLETE
3,18924.3537095248,2025-08-06 11:25:27.617340,2025-08-06 11:26:24.279785,0 days 00:00:56.662445,11,16,17,49,12,69,85,32,13,COMPLETE
4,1099.1813036775538,2025-08-06 11:26:22.867895,2025-08-06 11:27:21.083589,0 days 00:00:58.215694,73,20,11,40,8,64,82,265,44,COMPLETE
5,-inf,2025-08-06 11:26:24.096311,2025-08-06 11:27:21.031749,0 days 00:00:56.935438,56,17,10,45,18,38,127,58,5,COMPLETE
6,-inf,2025-08-06 11:26:24.308179,2025-08-06 11:27:21.244023,0 days 00:00:56.935844,29,20,10,25,6,34,243,28,22,COMPLETE
7,-inf,2025-08-06 11:26:24.385299,2025-08-06 11:27:21.557437,0 days 00:00:57.172138,43,17,13,22,28,49,215,271,29,COMPLETE
8,-inf,2025-08-06 11:27:21.038347,2025-08-06 11:28:14.620760,0 days 00:00:53.582413,13,12,20,32,11,40,157,29,41,COMPLETE
9,-inf,2025-08-06 11:27:21.142044,2025-08-06 11:27:21.165565,0 days 00:00:00.023521,72,8,12,34,18,52,32,89,46,COMPLETE
10,-356.76742080339216,2025-08-06 11:27:21.172180,2025-08-06 11:28:16.054058,0 days 00:00:54.881878,46,12,9,22,28,58,178,246,46,COMPLETE
11,-inf,2025-08-06 11:27:21.255703,2025-08-06 11:28:17.028372,0 days 00:00:55.772669,44,20,9,36,6,46,202,92,9,COMPLETE
12,-inf,2025-08-06 11:27:21.558807,2025-08-06 11:28:16.988297,0 days 00:00:55.429490,56,12,12,27,30,54,219,126,42,COMPLETE
13,-93.94142991014553,2025-08-06 11:28:14.683537,2025-08-06 11:29:08.561681,0 days 00:00:53.878144,25,5,16,15,13,55,166,107,11,COMPLETE
14,18426.218774662935,2025-08-06 11:28:16.088677,2025-08-06 11:29:14.319852,0 days 00:00:58.231175,5,5,5,30,23,69,93,104,12,COMPLETE
15,10352.40522225951,2025-08-06 11:28:17.009178,2025-08-06 11:29:16.212845,0 days 00:00:59.203667,5,5,6,17,23,70,90,204,16,COMPLETE
16,17686.073486738067,2025-08-06 11:28:17.029483,2025-08-06 11:29:13.793125,0 days 00:00:56.763642,5,15,5,16,22,70,94,194,16,COMPLETE
17,11644.082054143011,2025-08-06 11:29:08.657759,2025-08-06 11:30:03.439609,0 days 00:00:54.781850,6,14,5,49,23,70,108,208,19,COMPLETE
18,2518.15636050522,2025-08-06 11:29:13.841259,2025-08-06 11:30:12.707096,0 days 00:00:58.865837,17,15,16,50,22,70,120,224,18,COMPLETE
19,2937.635349019768,2025-08-06 11:29:14.348077,2025-08-06 11:30:13.412949,0 days 00:00:59.064872,19,9,16,50,14,70,124,10,19,COMPLETE
20,1181.2832262082418,2025-08-06 11:29:16.236781,2025-08-06 11:30:15.701183,0 days 00:00:59.464402,18,9,16,49,15,61,125,56,22,COMPLETE
21,279.7030178728063,2025-08-06 11:30:03.487489,2025-08-06 11:31:03.297497,0 days 00:00:59.810008,17,8,17,30,14,59,66,62,25,COMPLETE
22,3491.890122728151,2025-08-06 11:30:12.718588,2025-08-06 11:31:12.312820,0 days 00:00:59.594232,19,9,17,30,16,60,57,61,25,COMPLETE
23,-584.2739290878366,2025-08-06 11:30:13.419290,2025-08-06 11:31:14.833947,0 days 00:01:01.414657,33,7,18,31,15,60,63,62,26,COMPLETE
24,1405.1891180768464,2025-08-06 11:30:15.718505,2025-08-06 11:31:15.498539,0 days 00:00:59.780034,35,15,7,29,25,66,59,139,11,COMPLETE
25,2477.3774734943045,2025-08-06 11:31:03.345670,2025-08-06 11:32:02.639420,0 days 00:00:59.293750,36,15,7,38,20,66,73,134,13,COMPLETE
26,2930.4207559448196,2025-08-06 11:31:12.329890,2025-08-06 11:32:11.826540,0 days 00:00:59.496650,34,15,7,38,25,66,68,138,13,COMPLETE
27,2464.7784360750725,2025-08-06 11:31:14.855151,2025-08-06 11:32:15.418160,0 days 00:01:00.563009,9,15,8,37,20,67,102,139,13,COMPLETE
28,5672.9931620395255,2025-08-06 11:31:15.511696,2025-08-06 11:32:18.523389,0 days 00:01:03.011693,11,14,7,38,19,66,146,156,14,COMPLETE
29,-45.56018049954605,2025-08-06 11:32:02.666617,2025-08-06 11:33:03.086372,0 days 00:01:00.419755,11,14,14,41,10,67,103,166,5,COMPLETE
30,956.9673444224946,2025-08-06 11:32:11.893187,2025-08-06 11:33:12.215777,0 days 00:01:00.322590,11,18,13,19,10,67,141,300,5,COMPLETE
31,-344.6582783107203,2025-08-06 11:32:15.435400,2025-08-06 11:33:16.498709,0 days 00:01:01.063309,12,18,14,19,10,56,144,161,5,COMPLETE
32,-inf,2025-08-06 11:32:18.554212,2025-08-06 11:32:19.924699,0 days 00:00:01.370487,25,18,14,18,10,56,42,167,5,COMPLETE
33,364.37638452551755,2025-08-06 11:32:19.977453,2025-08-06 11:33:20.693795,0 days 00:01:00.716342,14,18,20,42,25,62,105,297,7,COMPLETE
34,8432.095152045096,2025-08-06 11:33:03.145491,2025-08-06 11:34:04.352159,0 days 00:01:01.206668,5,18,5,47,25,70,114,300,19,COMPLETE
35,11608.62458421159,2025-08-06 11:33:12.279556,2025-08-06 11:34:10.597409,0 days 00:00:58.317853,5,13,5,47,25,70,108,210,19,COMPLETE
36,10615.990571973889,2025-08-06 11:33:16.520897,2025-08-06 11:34:17.591955,0 days 00:01:01.071058,5,13,5,45,24,63,106,218,19,COMPLETE
37,19408.973413189127,2025-08-06 11:33:20.734056,2025-08-06 11:34:20.776950,0 days 00:01:00.042894,6,13,5,47,23,69,110,214,19,COMPLETE
38,2655.3825497958055,2025-08-06 11:34:04.499197,2025-08-06 11:35:03.509628,0 days 00:00:59.010431,5,13,5,45,23,63,86,210,33,COMPLETE
39,-413.50615478978995,2025-08-06 11:34:10.633416,2025-08-06 11:35:09.464664,0 days 00:00:58.831248,24,11,6,44,22,64,79,229,9,COMPLETE
40,3068.7965094382344,2025-08-06 11:34:17.740769,2025-08-06 11:35:16.799078,0 days 00:00:59.058309,24,16,6,43,22,63,86,187,31,COMPLETE
41,1459.027954356062,2025-08-06 11:34:20.821516,2025-08-06 11:35:19.712025,0 days 00:00:58.890509,23,11,6,43,21,64,82,184,31,COMPLETE
42,4814.816339469417,2025-08-06 11:35:03.512264,2025-08-06 11:35:59.845068,0 days 00:00:56.332804,22,11,6,43,21,68,79,182,16,COMPLETE
43,-inf,2025-08-06 11:35:09.577861,2025-08-06 11:36:08.520327,0 days 00:00:58.942466,67,16,6,25,27,44,95,193,16,COMPLETE
44,2985.4830995729835,2025-08-06 11:35:16.871309,2025-08-06 11:36:18.044984,0 days 00:01:01.173675,9,16,8,47,27,68,92,241,22,COMPLETE
45,6198.837712036866,2025-08-06 11:35:19.753987,2025-08-06 11:36:20.486751,0 days 00:01:00.732764,9,16,8,47,27,69,94,245,16,COMPLETE
46,-inf,2025-08-06 11:35:59.887419,2025-08-06 11:36:59.210428,0 days 00:00:59.323009,9,16,8,47,27,43,99,248,21,COMPLETE
47,6944.633243422783,2025-08-06 11:36:08.653679,2025-08-06 11:37:05.151481,0 days 00:00:56.497802,9,14,9,47,27,68,130,241,23,COMPLETE
48,-164.42747360553537,2025-08-06 11:36:18.114467,2025-08-06 11:37:18.123270,0 days 00:01:00.008803,15,14,8,34,17,68,114,257,10,COMPLETE
49,-inf,2025-08-06 11:36:20.521218,2025-08-06 11:37:20.510915,0 days 00:00:59.989697,15,14,11,27,17,35,131,260,23,COMPLETE
50,-131.37581798372753,2025-08-06 11:36:59.222502,2025-08-06 11:37:58.174992,0 days 00:00:58.952490,15,14,11,35,17,49,134,267,10,COMPLETE
51,-inf,2025-08-06 11:37:05.184055,2025-08-06 11:38:07.865584,0 days 00:01:02.681529,14,6,11,23,17,31,133,105,9,COMPLETE
52,-22.348563567619603,2025-08-06 11:37:18.124699,2025-08-06 11:38:17.866961,0 days 00:00:59.742262,15,6,11,49,18,50,161,81,8,COMPLETE
53,-289.59048741953836,2025-08-06 11:37:20.522755,2025-08-06 11:38:21.606355,0 days 00:01:01.083600,28,17,19,49,30,50,47,113,8,COMPLETE
54,8970.261567337857,2025-08-06 11:37:58.240413,2025-08-06 11:38:55.205474,0 days 00:00:56.965061,7,13,5,49,24,70,112,207,18,COMPLETE
55,31348.502510077105,2025-08-06 11:38:07.924749,2025-08-06 11:39:06.626950,0 days 00:00:58.702201,7,13,5,50,24,70,114,203,15,COMPLETE
56,27506.449364481603,2025-08-06 11:38:17.868061,2025-08-06 11:39:22.062157,0 days 00:01:04.194096,7,13,5,49,30,70,114,216,18,COMPLETE
