number,value,datetime_start,datetime_complete,duration,params_fast,params_macd_fast,params_macd_signal,params_macd_slow,params_rsi_period,params_rsi_threshold,params_slow,params_trend_sma_period,params_volume_ma_period,state
0,148.99782733204438,2025-08-06 15:59:49.951787,2025-08-06 16:00:24.080413,0 days 00:00:34.128626,66,8,9,25,21,46,74,16,15,COMPLETE
1,14.200144725779891,2025-08-06 15:59:49.958466,2025-08-06 16:00:25.435526,0 days 00:00:35.477060,49,15,11,22,5,59,167,35,11,COMPLETE
2,-inf,2025-08-06 15:59:49.962718,2025-08-06 16:00:24.690558,0 days 00:00:34.727840,31,20,13,33,12,50,150,213,49,COMPLETE
3,-inf,2025-08-06 15:59:49.965089,2025-08-06 16:00:25.308146,0 days 00:00:35.343057,8,6,8,37,27,38,101,104,29,COMPLETE
4,-inf,2025-08-06 16:00:24.087215,2025-08-06 16:00:58.542329,0 days 00:00:34.455114,29,19,18,47,27,51,151,129,20,COMPLETE
5,-inf,2025-08-06 16:00:24.702500,2025-08-06 16:00:24.703696,0 days 00:00:00.001196,69,14,16,26,5,69,50,203,37,COMPLETE
6,-inf,2025-08-06 16:00:24.770835,2025-08-06 16:01:00.674762,0 days 00:00:35.903927,50,20,11,24,13,47,135,75,8,COMPLETE
7,-194.1347498522909,2025-08-06 16:00:25.321958,2025-08-06 16:01:00.281578,0 days 00:00:34.959620,6,5,13,50,16,56,194,260,11,COMPLETE
8,-17.309404984468987,2025-08-06 16:00:25.436694,2025-08-06 16:01:00.636575,0 days 00:00:35.199881,16,15,16,28,29,50,127,244,44,COMPLETE
9,-322.5924171062481,2025-08-06 16:00:58.570511,2025-08-06 16:01:33.142007,0 days 00:00:34.571496,60,14,6,25,28,66,250,295,50,COMPLETE
10,-inf,2025-08-06 16:01:00.288028,2025-08-06 16:01:35.794837,0 days 00:00:35.506809,38,17,10,28,16,50,168,222,11,COMPLETE
11,-inf,2025-08-06 16:01:00.642949,2025-08-06 16:01:35.099456,0 days 00:00:34.456507,73,9,11,38,13,38,168,53,24,COMPLETE
12,2106.8573365024718,2025-08-06 16:01:00.677118,2025-08-06 16:01:36.559725,0 days 00:00:35.882607,58,15,19,21,18,70,124,60,18,COMPLETE
13,-inf,2025-08-06 16:01:33.159422,2025-08-06 16:01:33.507466,0 days 00:00:00.348044,76,9,6,15,22,34,39,14,21,COMPLETE
14,421.4884724651198,2025-08-06 16:01:33.561078,2025-08-06 16:02:09.693897,0 days 00:00:36.132819,51,10,10,17,5,61,83,11,15,COMPLETE
15,240.60780353336943,2025-08-06 16:01:35.141041,2025-08-06 16:02:12.763423,0 days 00:00:37.622382,50,10,10,18,5,62,85,10,13,COMPLETE
16,1514.5666496962956,2025-08-06 16:01:35.802283,2025-08-06 16:02:13.864860,0 days 00:00:38.062577,56,11,9,18,7,60,85,14,5,COMPLETE
17,-inf,2025-08-06 16:01:36.601290,2025-08-06 16:02:12.781556,0 days 00:00:36.180266,60,11,20,16,21,43,75,158,17,COMPLETE
18,-273.83991602816127,2025-08-06 16:02:09.757502,2025-08-06 16:02:46.087950,0 days 00:00:36.330448,56,10,20,16,9,63,96,163,29,COMPLETE
19,-744.4342624535817,2025-08-06 16:02:12.782262,2025-08-06 16:02:48.798202,0 days 00:00:36.015940,57,13,15,21,9,69,113,73,5,COMPLETE
20,5157.125366966003,2025-08-06 16:02:12.793935,2025-08-06 16:02:48.614068,0 days 00:00:35.820133,42,13,15,20,9,70,100,81,5,COMPLETE
21,-71.91354355639251,2025-08-06 16:02:13.892369,2025-08-06 16:02:48.562477,0 days 00:00:34.670108,61,12,20,20,9,70,109,83,6,COMPLETE
